"TIME"	"GEO"	"AGE"	"SEX"	"Value"	"Flag.and.Footnotes"	"scenario"
"1"	2015	"European Union (28 countries)"	"Total"	"Total"	"508,223,624"	NA	1
"2"	2020	"European Union (28 countries)"	"Total"	"Total"	"512,474,771"	NA	1
"3"	2025	"European Union (28 countries)"	"Total"	"Total"	"515,754,662"	NA	1
"4"	2030	"European Union (28 countries)"	"Total"	"Total"	"518,499,055"	NA	1
"5"	2035	"European Union (28 countries)"	"Total"	"Total"	"521,126,970"	NA	1
"6"	2040	"European Union (28 countries)"	"Total"	"Total"	"523,545,921"	NA	1
"7"	2045	"European Union (28 countries)"	"Total"	"Total"	"525,171,079"	NA	1
"8"	2050	"European Union (28 countries)"	"Total"	"Total"	"525,527,890"	NA	1
"9"	2055	"European Union (28 countries)"	"Total"	"Total"	"524,626,132"	NA	1
"10"	2060	"European Union (28 countries)"	"Total"	"Total"	"522,945,539"	NA	1
"11"	2065	"European Union (28 countries)"	"Total"	"Total"	"521,223,629"	NA	1
"12"	2070	"European Union (28 countries)"	"Total"	"Total"	"520,123,107"	NA	1
"13"	2075	"European Union (28 countries)"	"Total"	"Total"	"519,822,676"	NA	1
"14"	2080	"European Union (28 countries)"	"Total"	"Total"	"520,035,469"	NA	1
"15"	2015	"Belgium"	"Total"	"Total"	"11,336,943"	NA	1
"16"	2020	"Belgium"	"Total"	"Total"	"11,824,225"	NA	1
"17"	2025	"Belgium"	"Total"	"Total"	"12,349,354"	NA	1
"18"	2030	"Belgium"	"Total"	"Total"	"12,885,338"	NA	1
"19"	2035	"Belgium"	"Total"	"Total"	"13,414,290"	NA	1
"20"	2040	"Belgium"	"Total"	"Total"	"13,918,014"	NA	1
"21"	2045	"Belgium"	"Total"	"Total"	"14,372,768"	NA	1
"22"	2050	"Belgium"	"Total"	"Total"	"14,758,714"	NA	1
"23"	2055	"Belgium"	"Total"	"Total"	"15,086,872"	NA	1
"24"	2060	"Belgium"	"Total"	"Total"	"15,400,272"	NA	1
"25"	2065	"Belgium"	"Total"	"Total"	"15,712,902"	NA	1
"26"	2070	"Belgium"	"Total"	"Total"	"16,027,593"	NA	1
"27"	2075	"Belgium"	"Total"	"Total"	"16,332,982"	NA	1
"28"	2080	"Belgium"	"Total"	"Total"	"16,614,305"	NA	1
"29"	2015	"Bulgaria"	"Total"	"Total"	"7,199,931"	NA	1
"30"	2020	"Bulgaria"	"Total"	"Total"	"6,975,188"	NA	1
"31"	2025	"Bulgaria"	"Total"	"Total"	"6,730,279"	NA	1
"32"	2030	"Bulgaria"	"Total"	"Total"	"6,478,705"	NA	1
"33"	2035	"Bulgaria"	"Total"	"Total"	"6,259,054"	NA	1
"34"	2040	"Bulgaria"	"Total"	"Total"	"6,087,310"	NA	1
"35"	2045	"Bulgaria"	"Total"	"Total"	"5,932,174"	NA	1
"36"	2050	"Bulgaria"	"Total"	"Total"	"5,781,498"	NA	1
"37"	2055	"Bulgaria"	"Total"	"Total"	"5,633,154"	NA	1
"38"	2060	"Bulgaria"	"Total"	"Total"	"5,477,666"	NA	1
"39"	2065	"Bulgaria"	"Total"	"Total"	"5,316,803"	NA	1
"40"	2070	"Bulgaria"	"Total"	"Total"	"5,166,354"	NA	1
"41"	2075	"Bulgaria"	"Total"	"Total"	"5,035,518"	NA	1
"42"	2080	"Bulgaria"	"Total"	"Total"	"4,925,270"	NA	1
"43"	2015	"Czech Republic"	"Total"	"Total"	"10,536,043"	NA	1
"44"	2020	"Czech Republic"	"Total"	"Total"	"10,644,858"	NA	1
"45"	2025	"Czech Republic"	"Total"	"Total"	"10,725,547"	NA	1
"46"	2030	"Czech Republic"	"Total"	"Total"	"10,778,136"	NA	1
"47"	2035	"Czech Republic"	"Total"	"Total"	"10,824,078"	NA	1
"48"	2040	"Czech Republic"	"Total"	"Total"	"10,905,139"	NA	1
"49"	2045	"Czech Republic"	"Total"	"Total"	"11,006,335"	NA	1
"50"	2050	"Czech Republic"	"Total"	"Total"	"11,072,795"	NA	1
"51"	2055	"Czech Republic"	"Total"	"Total"	"11,095,608"	NA	1
"52"	2060	"Czech Republic"	"Total"	"Total"	"11,081,326"	NA	1
"53"	2065	"Czech Republic"	"Total"	"Total"	"11,039,735"	NA	1
"54"	2070	"Czech Republic"	"Total"	"Total"	"10,996,260"	NA	1
"55"	2075	"Czech Republic"	"Total"	"Total"	"10,982,432"	NA	1
"56"	2080	"Czech Republic"	"Total"	"Total"	"10,998,397"	NA	1
"57"	2015	"Denmark"	"Total"	"Total"	"5,649,584"	NA	1
"58"	2020	"Denmark"	"Total"	"Total"	"5,773,812"	NA	1
"59"	2025	"Denmark"	"Total"	"Total"	"5,915,450"	NA	1
"60"	2030	"Denmark"	"Total"	"Total"	"6,055,858"	NA	1
"61"	2035	"Denmark"	"Total"	"Total"	"6,178,468"	NA	1
"62"	2040	"Denmark"	"Total"	"Total"	"6,276,457"	NA	1
"63"	2045	"Denmark"	"Total"	"Total"	"6,353,852"	NA	1
"64"	2050	"Denmark"	"Total"	"Total"	"6,417,094"	NA	1
"65"	2055	"Denmark"	"Total"	"Total"	"6,474,721"	NA	1
"66"	2060	"Denmark"	"Total"	"Total"	"6,536,806"	NA	1
"67"	2065	"Denmark"	"Total"	"Total"	"6,601,579"	NA	1
"68"	2070	"Denmark"	"Total"	"Total"	"6,667,645"	NA	1
"69"	2075	"Denmark"	"Total"	"Total"	"6,732,817"	NA	1
"70"	2080	"Denmark"	"Total"	"Total"	"6,792,190"	NA	1
"71"	2015	"Germany (until 1990 former territory of the FRG)"	"Total"	"Total"	"80,709,056"	NA	1
"72"	2020	"Germany (until 1990 former territory of the FRG)"	"Total"	"Total"	"80,637,413"	NA	1
"73"	2025	"Germany (until 1990 former territory of the FRG)"	"Total"	"Total"	"80,325,473"	NA	1
"74"	2030	"Germany (until 1990 former territory of the FRG)"	"Total"	"Total"	"79,758,182"	NA	1
"75"	2035	"Germany (until 1990 former territory of the FRG)"	"Total"	"Total"	"78,944,469"	NA	1
"76"	2040	"Germany (until 1990 former territory of the FRG)"	"Total"	"Total"	"77,811,398"	NA	1
"77"	2045	"Germany (until 1990 former territory of the FRG)"	"Total"	"Total"	"76,387,955"	NA	1
"78"	2050	"Germany (until 1990 former territory of the FRG)"	"Total"	"Total"	"74,721,315"	NA	1
"79"	2055	"Germany (until 1990 former territory of the FRG)"	"Total"	"Total"	"72,878,732"	NA	1
"80"	2060	"Germany (until 1990 former territory of the FRG)"	"Total"	"Total"	"71,021,529"	NA	1
"81"	2065	"Germany (until 1990 former territory of the FRG)"	"Total"	"Total"	"69,356,128"	NA	1
"82"	2070	"Germany (until 1990 former territory of the FRG)"	"Total"	"Total"	"67,929,656"	NA	1
"83"	2075	"Germany (until 1990 former territory of the FRG)"	"Total"	"Total"	"66,630,760"	NA	1
"84"	2080	"Germany (until 1990 former territory of the FRG)"	"Total"	"Total"	"65,378,410"	NA	1
"85"	2015	"Estonia"	"Total"	"Total"	"1,311,505"	NA	1
"86"	2020	"Estonia"	"Total"	"Total"	"1,284,459"	NA	1
"87"	2025	"Estonia"	"Total"	"Total"	"1,247,214"	NA	1
"88"	2030	"Estonia"	"Total"	"Total"	"1,208,245"	NA	1
"89"	2035	"Estonia"	"Total"	"Total"	"1,178,674"	NA	1
"90"	2040	"Estonia"	"Total"	"Total"	"1,162,106"	NA	1
"91"	2045	"Estonia"	"Total"	"Total"	"1,147,303"	NA	1
"92"	2050	"Estonia"	"Total"	"Total"	"1,131,200"	NA	1
"93"	2055	"Estonia"	"Total"	"Total"	"1,113,217"	NA	1
"94"	2060	"Estonia"	"Total"	"Total"	"1,092,858"	NA	1
"95"	2065	"Estonia"	"Total"	"Total"	"1,072,951"	NA	1
"96"	2070	"Estonia"	"Total"	"Total"	"1,055,413"	NA	1
"97"	2075	"Estonia"	"Total"	"Total"	"1,041,539"	NA	1
"98"	2080	"Estonia"	"Total"	"Total"	"1,029,443"	NA	1
"99"	2015	"Ireland"	"Total"	"Total"	"4,602,854"	NA	1
"100"	2020	"Ireland"	"Total"	"Total"	"4,610,198"	NA	1
"101"	2025	"Ireland"	"Total"	"Total"	"4,576,170"	NA	1
"102"	2030	"Ireland"	"Total"	"Total"	"4,556,903"	NA	1
"103"	2035	"Ireland"	"Total"	"Total"	"4,589,593"	NA	1
"104"	2040	"Ireland"	"Total"	"Total"	"4,680,654"	NA	1
"105"	2045	"Ireland"	"Total"	"Total"	"4,813,704"	NA	1
"106"	2050	"Ireland"	"Total"	"Total"	"4,964,968"	NA	1
