"TIME","GEO","AGE","SEX","Value","Flag and Footnotes"
"2015","European Union (28 countries)","Total","Total","508,245,260",""
"2020","European Union (28 countries)","Total","Total","512,880,552",""
"2025","European Union (28 countries)","Total","Total","516,900,195",""
"2030","European Union (28 countries)","Total","Total","520,644,997",""
"2035","European Union (28 countries)","Total","Total","524,485,693",""
"2040","European Union (28 countries)","Total","Total","528,301,525",""
"2045","European Union (28 countries)","Total","Total","531,451,647",""
"2050","European Union (28 countries)","Total","Total","533,388,394",""
"2055","European Union (28 countries)","Total","Total","534,073,627",""
"2060","European Union (28 countries)","Total","Total","533,900,985",""
"2015","Belgium","Total","Total","11,337,428",""
"2020","Belgium","Total","Total","11,833,198",""
"2025","Belgium","Total","Total","12,374,413",""
"2030","Belgium","Total","Total","12,932,145",""
"2035","Belgium","Total","Total","13,488,385",""
"2040","Belgium","Total","Total","14,024,958",""
"2045","Belgium","Total","Total","14,516,498",""
"2050","Belgium","Total","Total","14,940,981",""
"2055","Belgium","Total","Total","15,307,852",""
"2060","Belgium","Total","Total","15,658,371",""
"2015","Bulgaria","Total","Total","7,200,362",""
"2020","Bulgaria","Total","Total","6,982,839",""
"2025","Bulgaria","Total","Total","6,750,809",""
"2030","Bulgaria","Total","Total","6,515,550",""
"2035","Bulgaria","Total","Total","6,314,446",""
"2040","Bulgaria","Total","Total","6,161,976",""
"2045","Bulgaria","Total","Total","6,025,241",""
"2050","Bulgaria","Total","Total","5,891,844",""
"2055","Bulgaria","Total","Total","5,760,397",""
"2060","Bulgaria","Total","Total","5,621,844",""
"2015","Czech Republic","Total","Total","10,536,506",""
"2020","Czech Republic","Total","Total","10,653,546",""
"2025","Czech Republic","Total","Total","10,750,365",""
"2030","Czech Republic","Total","Total","10,825,658",""
"2035","Czech Republic","Total","Total","10,899,725",""
"2040","Czech Republic","Total","Total","11,011,599",""
"2045","Czech Republic","Total","Total","11,143,048",""
"2050","Czech Republic","Total","Total","11,238,895",""
"2055","Czech Republic","Total","Total","11,292,997",""
"2060","Czech Republic","Total","Total","11,314,020",""
"2015","Denmark","Total","Total","5,649,819",""
"2020","Denmark","Total","Total","5,778,134",""
"2025","Denmark","Total","Total","5,928,014",""
"2030","Denmark","Total","Total","6,080,153",""
"2035","Denmark","Total","Total","6,217,176",""
"2040","Denmark","Total","Total","6,330,858",""
"2045","Denmark","Total","Total","6,424,116",""
"2050","Denmark","Total","Total","6,503,541",""
"2055","Denmark","Total","Total","6,577,975",""
"2060","Denmark","Total","Total","6,656,253",""
"2015","Germany (until 1990 former territory of the FRG)","Total","Total","80,712,772",""
"2020","Germany (until 1990 former territory of the FRG)","Total","Total","80,707,752",""
"2025","Germany (until 1990 former territory of the FRG)","Total","Total","80,525,803",""
"2030","Germany (until 1990 former territory of the FRG)","Total","Total","80,131,883",""
"2035","Germany (until 1990 former territory of the FRG)","Total","Total","79,515,958",""
"2040","Germany (until 1990 former territory of the FRG)","Total","Total","78,603,394",""
"2045","Germany (until 1990 former territory of the FRG)","Total","Total","77,431,060",""
"2050","Germany (until 1990 former territory of the FRG)","Total","Total","76,034,064",""
"2055","Germany (until 1990 former territory of the FRG)","Total","Total","74,446,326",""
"2060","Germany (until 1990 former territory of the FRG)","Total","Total","72,790,542",""
"2015","Estonia","Total","Total","1,311,571",""
"2020","Estonia","Total","Total","1,285,639",""
"2025","Estonia","Total","Total","1,250,495",""
"2030","Estonia","Total","Total","1,214,231",""
"2035","Estonia","Total","Total","1,187,728",""
"2040","Estonia","Total","Total","1,174,516",""
"2045","Estonia","Total","Total","1,163,267",""
"2050","Estonia","Total","Total","1,150,579",""
"2055","Estonia","Total","Total","1,135,719",""
"2060","Estonia","Total","Total","1,118,212",""
"2015","Ireland","Total","Total","4,602,970",""
"2020","Ireland","Total","Total","4,612,542",""
"2025","Ireland","Total","Total","4,583,136",""
"2030","Ireland","Total","Total","4,570,608",""
"2035","Ireland","Total","Total","4,612,046",""
"2040","Ireland","Total","Total","4,713,656",""
"2045","Ireland","Total","Total","4,858,610",""
