"TIME","GEO","AGE","SEX","Value","Flag and Footnotes"
"2015","European Union (28 countries)","Total","Total","508,201,535",""
"2020","European Union (28 countries)","Total","Total","512,018,934",""
"2025","European Union (28 countries)","Total","Total","514,349,343",""
"2030","European Union (28 countries)","Total","Total","515,646,362",""
"2035","European Union (28 countries)","Total","Total","516,301,828",""
"2040","European Union (28 countries)","Total","Total","516,144,576",""
"2045","European Union (28 countries)","Total","Total","514,502,970",""
"2050","European Union (28 countries)","Total","Total","510,825,755",""
"2055","European Union (28 countries)","Total","Total","505,076,032",""
"2060","European Union (28 countries)","Total","Total","497,707,180",""
"2015","Belgium","Total","Total","11,336,389",""
"2020","Belgium","Total","Total","11,812,217",""
"2025","Belgium","Total","Total","12,310,698",""
"2030","Belgium","Total","Total","12,804,091",""
"2035","Belgium","Total","Total","13,273,003",""
"2040","Belgium","Total","Total","13,696,483",""
"2045","Belgium","Total","Total","14,047,660",""
"2050","Belgium","Total","Total","14,303,313",""
"2055","Belgium","Total","Total","14,472,509",""
"2060","Belgium","Total","Total","14,597,030",""
"2015","Bulgaria","Total","Total","7,199,646",""
"2020","Bulgaria","Total","Total","6,969,523",""
"2025","Bulgaria","Total","Total","6,713,544",""
"2030","Bulgaria","Total","Total","6,446,010",""
"2035","Bulgaria","Total","Total","6,204,995",""
"2040","Bulgaria","Total","Total","6,004,849",""
"2045","Bulgaria","Total","Total","5,813,547",""
"2050","Bulgaria","Total","Total","5,619,167",""
"2055","Bulgaria","Total","Total","5,419,823",""
"2060","Bulgaria","Total","Total","5,205,735",""
"2015","Czech Republic","Total","Total","10,535,575",""
"2020","Czech Republic","Total","Total","10,635,337",""
"2025","Czech Republic","Total","Total","10,696,709",""
"2030","Czech Republic","Total","Total","10,720,747",""
"2035","Czech Republic","Total","Total","10,726,741",""
"2040","Czech Republic","Total","Total","10,752,039",""
"2045","Czech Republic","Total","Total","10,780,223",""
"2050","Czech Republic","Total","Total","10,757,224",""
"2055","Czech Republic","Total","Total","10,675,114",""
"2060","Czech Republic","Total","Total","10,539,944",""
"2015","Denmark","Total","Total","5,649,335",""
"2020","Denmark","Total","Total","5,768,346",""
"2025","Denmark","Total","Total","5,897,364",""
"2030","Denmark","Total","Total","6,017,394",""
"2035","Denmark","Total","Total","6,112,186",""
"2040","Denmark","Total","Total","6,175,021",""
"2045","Denmark","Total","Total","6,209,307",""
"2050","Denmark","Total","Total","6,218,950",""
"2055","Denmark","Total","Total","6,209,725",""
"2060","Denmark","Total","Total","6,191,046",""
"2015","Germany (until 1990 former territory of the FRG)","Total","Total","80,706,228",""
"2020","Germany (until 1990 former territory of the FRG)","Total","Total","80,577,370",""
"2025","Germany (until 1990 former territory of the FRG)","Total","Total","80,138,506",""
"2030","Germany (until 1990 former territory of the FRG)","Total","Total","79,380,249",""
"2035","Germany (until 1990 former territory of the FRG)","Total","Total","78,314,473",""
"2040","Germany (until 1990 former territory of the FRG)","Total","Total","76,865,776",""
"2045","Germany (until 1990 former territory of the FRG)","Total","Total","75,052,415",""
"2050","Germany (until 1990 former territory of the FRG)","Total","Total","72,904,964",""
"2055","Germany (until 1990 former territory of the FRG)","Total","Total","70,483,722",""
"2060","Germany (until 1990 former territory of the FRG)","Total","Total","67,955,154",""
"2015","Estonia","Total","Total","1,311,445",""
"2020","Estonia","Total","Total","1,283,260",""
"2025","Estonia","Total","Total","1,243,713",""
"2030","Estonia","Total","Total","1,201,530",""
"2035","Estonia","Total","Total","1,167,631",""
"2040","Estonia","Total","Total","1,145,134",""
"2045","Estonia","Total","Total","1,122,658",""
"2050","Estonia","Total","Total","1,097,293",""
"2055","Estonia","Total","Total","1,068,629",""
"2060","Estonia","Total","Total","1,036,135",""
"2015","Ireland","Total","Total","4,602,560",""
"2020","Ireland","Total","Total","4,604,647",""
"2025","Ireland","Total","Total","4,560,649",""
"2030","Ireland","Total","Total","4,526,888",""
"2035","Ireland","Total","Total","4,538,223",""
"2040","Ireland","Total","Total","4,598,979",""
"2045","Ireland","Total","Total","4,691,903",""
"2050","Ireland","Total","Total","4,793,954",""
"2055","Ireland","Total","Total","4,881,645",""
"2060","Ireland","Total","Total","4,943,007",""
"2015","Greece","Total","Total","10,977,538",""
"2020","Greece","Total","Total","10,695,486",""
"2025","Greece","Total","Total","10,366,900",""
"2030","Greece","Total","Total","10,044,018",""
"2035","Greece","Total","Total","9,751,344",""
"2040","Greece","Total","Total","9,477,730",""
"2045","Greece","Total","Total","9,204,802",""
"2050","Greece","Total","Total","8,911,805",""
"2055","Greece","Total","Total","8,582,126",""
"2060","Greece","Total","Total","8,222,630",""
"2015","Spain","Total","Total","46,388,462",""
"2020","Spain","Total","Total","45,760,016",""
"2025","Spain","Total","Total","44,933,031",""
"2030","Spain","Total","Total","44,334,369",""
"2035","Spain","Total","Total","44,067,447",""
"2040","Spain","Total","Total","44,110,009",""
"2045","Spain","Total","Total","44,330,552",""
"2050","Spain","Total","Total","44,520,503",""
"2055","Spain","Total","Total","44,559,726",""
"2060","Spain","Total","Total","44,349,623",""
"2015","France","Total","Total","66,172,283",""
"2020","France","Total","Total","67,586,635",""
"2025","France","Total","Total","68,807,144",""
"2030","France","Total","Total","69,922,639",""
"2035","France","Total","Total","70,866,404",""
"2040","France","Total","Total","71,515,301",""
"2045","France","Total","Total","71,805,944",""
"2050","France","Total","Total","71,815,587",""
"2055","France","Total","Total","71,627,853",""
"2060","France","Total","Total","71,290,014",""
"2015","Croatia","Total","Total","4,244,818",""
"2020","Croatia","Total","Total","4,195,266",""
"2025","Croatia","Total","Total","4,134,292",""
"2030","Croatia","Total","Total","4,065,121",""
"2035","Croatia","Total","Total","3,988,118",""
"2040","Croatia","Total","Total","3,903,768",""
"2045","Croatia","Total","Total","3,815,333",""
"2050","Croatia","Total","Total","3,724,105",""
"2055","Croatia","Total","Total","3,628,949",""
"2060","Croatia","Total","Total","3,529,549",""
"2015","Italy","Total","Total","60,942,697",""
"2020","Italy","Total","Total","61,914,840",""
"2025","Italy","Total","Total","62,864,774",""
"2030","Italy","Total","Total","63,811,273",""
"2035","Italy","Total","Total","64,701,514",""
"2040","Italy","Total","Total","65,392,602",""
"2045","Italy","Total","Total","65,690,972",""
"2050","Italy","Total","Total","65,424,986",""
"2055","Italy","Total","Total","64,635,483",""
"2060","Italy","Total","Total","63,558,921",""
"2015","Cyprus","Total","Total","872,959",""
"2020","Cyprus","Total","Total","890,086",""
"2025","Cyprus","Total","Total","903,117",""
"2030","Cyprus","Total","Total","915,886",""
"2035","Cyprus","Total","Total","930,395",""
"2040","Cyprus","Total","Total","950,079",""
"2045","Cyprus","Total","Total","976,465",""
"2050","Cyprus","Total","Total","1,009,032",""
"2055","Cyprus","Total","Total","1,042,813",""
"2060","Cyprus","Total","Total","1,071,624",""
"2015","Latvia","Total","Total","1,985,801",""
"2020","Latvia","Total","Total","1,878,393",""
"2025","Latvia","Total","Total","1,750,590",""
"2030","Latvia","Total","Total","1,625,682",""
"2035","Latvia","Total","Total","1,537,203",""
"2040","Latvia","Total","Total","1,491,462",""
"2045","Latvia","Total","Total","1,450,587",""
"2050","Latvia","Total","Total","1,410,000",""
"2055","Latvia","Total","Total","1,367,978",""
"2060","Latvia","Total","Total","1,324,566",""
"2015","Lithuania","Total","Total","2,900,911",""
"2020","Lithuania","Total","Total","2,668,575",""
"2025","Lithuania","Total","Total","2,418,076",""
"2030","Lithuania","Total","Total","2,189,032",""
"2035","Lithuania","Total","Total","2,037,638",""
"2040","Lithuania","Total","Total","1,968,219",""
"2045","Lithuania","Total","Total","1,908,563",""
"2050","Lithuania","Total","Total","1,850,645",""
"2055","Lithuania","Total","Total","1,790,788",""
"2060","Lithuania","Total","Total","1,733,168",""
"2015","Luxembourg","Total","Total","562,821",""
"2020","Luxembourg","Total","Total","631,911",""
"2025","Luxembourg","Total","Total","705,643",""
"2030","Luxembourg","Total","Total","780,346",""
"2035","Luxembourg","Total","Total","852,580",""
"2040","Luxembourg","Total","Total","918,763",""
"2045","Luxembourg","Total","Total","975,925",""
"2050","Luxembourg","Total","Total","1,021,081",""
"2055","Luxembourg","Total","Total","1,055,576",""
"2060","Luxembourg","Total","Total","1,084,964",""
"2015","Hungary","Total","Total","9,862,809",""
"2020","Hungary","Total","Total","9,791,737",""
"2025","Hungary","Total","Total","9,719,955",""
"2030","Hungary","Total","Total","9,627,469",""
"2035","Hungary","Total","Total","9,515,123",""
"2040","Hungary","Total","Total","9,388,477",""
"2045","Hungary","Total","Total","9,253,706",""
"2050","Hungary","Total","Total","9,092,366",""
"2055","Hungary","Total","Total","8,918,255",""
"2060","Hungary","Total","Total","8,725,960",""
"2015","Malta","Total","Total","426,126",""
"2020","Malta","Total","Total","437,770",""
"2025","Malta","Total","Total","447,464",""
"2030","Malta","Total","Total","453,658",""
"2035","Malta","Total","Total","456,226",""
"2040","Malta","Total","Total","456,325",""
"2045","Malta","Total","Total","455,668",""
