"TIME","GEO","AGE","SEX","Value","Flag and Footnotes"
"2015","European Union (28 countries)","Total","Total","508,223,624",""
"2020","European Union (28 countries)","Total","Total","512,474,771",""
"2025","European Union (28 countries)","Total","Total","515,754,662",""
"2030","European Union (28 countries)","Total","Total","518,499,055",""
"2035","European Union (28 countries)","Total","Total","521,126,970",""
"2040","European Union (28 countries)","Total","Total","523,545,921",""
"2045","European Union (28 countries)","Total","Total","525,171,079",""
"2050","European Union (28 countries)","Total","Total","525,527,890",""
"2055","European Union (28 countries)","Total","Total","524,626,132",""
"2060","European Union (28 countries)","Total","Total","522,945,539",""
"2065","European Union (28 countries)","Total","Total","521,223,629",""
"2070","European Union (28 countries)","Total","Total","520,123,107",""
"2075","European Union (28 countries)","Total","Total","519,822,676",""
"2080","European Union (28 countries)","Total","Total","520,035,469",""
"2015","Belgium","Total","Total","11,336,943",""
"2020","Belgium","Total","Total","11,824,225",""
"2025","Belgium","Total","Total","12,349,354",""
"2030","Belgium","Total","Total","12,885,338",""
"2035","Belgium","Total","Total","13,414,290",""
"2040","Belgium","Total","Total","13,918,014",""
"2045","Belgium","Total","Total","14,372,768",""
"2050","Belgium","Total","Total","14,758,714",""
"2055","Belgium","Total","Total","15,086,872",""
"2060","Belgium","Total","Total","15,400,272",""
"2065","Belgium","Total","Total","15,712,902",""
"2070","Belgium","Total","Total","16,027,593",""
"2075","Belgium","Total","Total","16,332,982",""
"2080","Belgium","Total","Total","16,614,305",""
"2015","Bulgaria","Total","Total","7,199,931",""
"2020","Bulgaria","Total","Total","6,975,188",""
"2025","Bulgaria","Total","Total","6,730,279",""
"2030","Bulgaria","Total","Total","6,478,705",""
"2035","Bulgaria","Total","Total","6,259,054",""
"2040","Bulgaria","Total","Total","6,087,310",""
"2045","Bulgaria","Total","Total","5,932,174",""
"2050","Bulgaria","Total","Total","5,781,498",""
"2055","Bulgaria","Total","Total","5,633,154",""
"2060","Bulgaria","Total","Total","5,477,666",""
"2065","Bulgaria","Total","Total","5,316,803",""
"2070","Bulgaria","Total","Total","5,166,354",""
"2075","Bulgaria","Total","Total","5,035,518",""
"2080","Bulgaria","Total","Total","4,925,270",""
"2015","Czech Republic","Total","Total","10,536,043",""
"2020","Czech Republic","Total","Total","10,644,858",""
"2025","Czech Republic","Total","Total","10,725,547",""
"2030","Czech Republic","Total","Total","10,778,136",""
"2035","Czech Republic","Total","Total","10,824,078",""
"2040","Czech Republic","Total","Total","10,905,139",""
"2045","Czech Republic","Total","Total","11,006,335",""
"2050","Czech Republic","Total","Total","11,072,795",""
"2055","Czech Republic","Total","Total","11,095,608",""
"2060","Czech Republic","Total","Total","11,081,326",""
"2065","Czech Republic","Total","Total","11,039,735",""
"2070","Czech Republic","Total","Total","10,996,260",""
"2075","Czech Republic","Total","Total","10,982,432",""
"2080","Czech Republic","Total","Total","10,998,397",""
"2015","Denmark","Total","Total","5,649,584",""
"2020","Denmark","Total","Total","5,773,812",""
"2025","Denmark","Total","Total","5,915,450",""
"2030","Denmark","Total","Total","6,055,858",""
"2035","Denmark","Total","Total","6,178,468",""
"2040","Denmark","Total","Total","6,276,457",""
"2045","Denmark","Total","Total","6,353,852",""
"2050","Denmark","Total","Total","6,417,094",""
"2055","Denmark","Total","Total","6,474,721",""
"2060","Denmark","Total","Total","6,536,806",""
"2065","Denmark","Total","Total","6,601,579",""
"2070","Denmark","Total","Total","6,667,645",""
"2075","Denmark","Total","Total","6,732,817",""
"2080","Denmark","Total","Total","6,792,190",""
"2015","Germany (until 1990 former territory of the FRG)","Total","Total","80,709,056",""
"2020","Germany (until 1990 former territory of the FRG)","Total","Total","80,637,413",""
"2025","Germany (until 1990 former territory of the FRG)","Total","Total","80,325,473",""
"2030","Germany (until 1990 former territory of the FRG)","Total","Total","79,758,182",""
"2035","Germany (until 1990 former territory of the FRG)","Total","Total","78,944,469",""
