"TIME","GEO","AGE","SEX","Value","Flag and Footnotes"
"2015","European Union (28 countries)","Total","Total","507,340,900",""
"2020","European Union (28 countries)","Total","Total","506,622,170",""
"2025","European Union (28 countries)","Total","Total","503,766,219",""
"2030","European Union (28 countries)","Total","Total","498,949,729",""
"2035","European Union (28 countries)","Total","Total","492,664,193",""
"2040","European Union (28 countries)","Total","Total","485,218,128",""
"2045","European Union (28 countries)","Total","Total","476,492,657",""
"2050","European Union (28 countries)","Total","Total","466,376,747",""
"2055","European Union (28 countries)","Total","Total","454,969,505",""
"2060","European Union (28 countries)","Total","Total","442,752,273",""
"2065","European Union (28 countries)","Total","Total","430,572,319",""
"2070","European Union (28 countries)","Total","Total","419,144,105",""
"2075","European Union (28 countries)","Total","Total","408,712,850",""
"2080","European Union (28 countries)","Total","Total","399,215,880",""
"2015","Belgium","Total","Total","11,263,805",""
"2020","Belgium","Total","Total","11,338,862",""
"2025","Belgium","Total","Total","11,376,603",""
"2030","Belgium","Total","Total","11,376,509",""
"2035","Belgium","Total","Total","11,348,298",""
"2040","Belgium","Total","Total","11,296,515",""
"2045","Belgium","Total","Total","11,214,169",""
"2050","Belgium","Total","Total","11,096,965",""
"2055","Belgium","Total","Total","10,949,211",""
"2060","Belgium","Total","Total","10,787,036",""
"2065","Belgium","Total","Total","10,632,180",""
"2070","Belgium","Total","Total","10,495,430",""
"2075","Belgium","Total","Total","10,372,304",""
"2080","Belgium","Total","Total","10,254,226",""
"2015","Bulgaria","Total","Total","7,203,518",""
"2020","Bulgaria","Total","Total","7,003,027",""
"2025","Bulgaria","Total","Total","6,798,475",""
"2030","Bulgaria","Total","Total","6,589,866",""
"2035","Bulgaria","Total","Total","6,383,879",""
"2040","Bulgaria","Total","Total","6,187,323",""
"2045","Bulgaria","Total","Total","6,000,471",""
"2050","Bulgaria","Total","Total","5,819,686",""
"2055","Bulgaria","Total","Total","5,640,341",""
"2060","Bulgaria","Total","Total","5,459,545",""
"2065","Bulgaria","Total","Total","5,278,867",""
"2070","Bulgaria","Total","Total","5,104,295",""
"2075","Bulgaria","Total","Total","4,942,705",""
"2080","Bulgaria","Total","Total","4,798,771",""
"2015","Czech Republic","Total","Total","10,512,978",""
"2020","Czech Republic","Total","Total","10,483,880",""
"2025","Czech Republic","Total","Total","10,392,462",""
"2030","Czech Republic","Total","Total","10,230,370",""
"2035","Czech Republic","Total","Total","10,030,489",""
"2040","Czech Republic","Total","Total","9,833,951",""
"2045","Czech Republic","Total","Total","9,643,870",""
"2050","Czech Republic","Total","Total","9,446,582",""
"2055","Czech Republic","Total","Total","9,227,504",""
"2060","Czech Republic","Total","Total","8,976,274",""
"2065","Czech Republic","Total","Total","8,701,589",""
"2070","Czech Republic","Total","Total","8,429,613",""
"2075","Czech Republic","Total","Total","8,187,270",""
"2080","Czech Republic","Total","Total","7,986,243",""
"2015","Denmark","Total","Total","5,632,867",""
"2020","Denmark","Total","Total","5,660,441",""
"2025","Denmark","Total","Total","5,685,426",""
"2030","Denmark","Total","Total","5,692,839",""
"2035","Denmark","Total","Total","5,673,779",""
"2040","Denmark","Total","Total","5,630,995",""
"2045","Denmark","Total","Total","5,570,933",""
"2050","Denmark","Total","Total","5,504,106",""
"2055","Denmark","Total","Total","5,436,827",""
"2060","Denmark","Total","Total","5,369,754",""
"2065","Denmark","Total","Total","5,304,488",""
"2070","Denmark","Total","Total","5,243,545",""
"2075","Denmark","Total","Total","5,185,967",""
"2080","Denmark","Total","Total","5,128,723",""
"2015","Germany (until 1990 former territory of the FRG)","Total","Total","80,443,954",""
"2020","Germany (until 1990 former territory of the FRG)","Total","Total","79,141,641",""
"2025","Germany (until 1990 former territory of the FRG)","Total","Total","77,495,931",""
"2030","Germany (until 1990 former territory of the FRG)","Total","Total","75,479,370",""
"2035","Germany (until 1990 former territory of the FRG)","Total","Total","73,241,802",""
"2040","Germany (until 1990 former territory of the FRG)","Total","Total","70,862,530",""
"2045","Germany (until 1990 former territory of the FRG)","Total","Total","68,275,480",""
"2050","Germany (until 1990 former territory of the FRG)","Total","Total","65,459,737",""
"2055","Germany (until 1990 former territory of the FRG)","Total","Total","62,481,043",""
"2060","Germany (until 1990 former territory of the FRG)","Total","Total","59,529,378",""
"2065","Germany (until 1990 former territory of the FRG)","Total","Total","56,828,283",""
"2070","Germany (until 1990 former territory of the FRG)","Total","Total","54,439,607",""
"2075","Germany (until 1990 former territory of the FRG)","Total","Total","52,258,998",""
"2080","Germany (until 1990 former territory of the FRG)","Total","Total","50,201,169",""
"2015","Estonia","Total","Total","1,314,283",""
"2020","Estonia","Total","Total","1,304,434",""
"2025","Estonia","Total","Total","1,288,269",""
"2030","Estonia","Total","Total","1,267,448",""
"2035","Estonia","Total","Total","1,246,735",""
"2040","Estonia","Total","Total","1,228,437",""
"2045","Estonia","Total","Total","1,210,185",""
"2050","Estonia","Total","Total","1,189,630",""
"2055","Estonia","Total","Total","1,166,684",""
"2060","Estonia","Total","Total","1,142,698",""
"2065","Estonia","Total","Total","1,119,094",""
"2070","Estonia","Total","Total","1,096,441",""
"2075","Estonia","Total","Total","1,074,582",""
"2080","Estonia","Total","Total","1,053,324",""
"2015","Ireland","Total","Total","4,635,298",""
"2020","Ireland","Total","Total","4,810,515",""
"2025","Ireland","Total","Total","4,936,581",""
"2030","Ireland","Total","Total","5,035,672",""
"2035","Ireland","Total","Total","5,133,302",""
"2040","Ireland","Total","Total","5,231,363",""
"2045","Ireland","Total","Total","5,319,655",""
"2050","Ireland","Total","Total","5,381,220",""
